summary,start,end,categories,description,zones 
Vendredi Saint,2026-04-03,,Jours fériés|Christianisme,"Commémore la crucifixion du Christ. Jour férié uniquement en Alsace-Moselle (départements 57, 67, 68) en vertu du régime concordataire.",AM
Vendredi Saint,2026-04-03,,Christianisme,Commémore la crucifixion du Christ. Non férié en France depuis la loi de 1905 — sauf en Alsace-Moselle.,
Vacances de Printemps - Zone A,2026-04-04,2026-04-19,Vacances scolaires,"Vacances de Printemps pour la zone scolaire A. Durée : 16 jours, du 04/04/2026 au 19/04/2026. Le découpage en zones A, B et C a été instauré en 1972.",A
Pâques,2026-04-05,,Christianisme,Fête chrétienne célébrant la résurrection du Christ. Sa date varie chaque année car elle suit le calendrier lunaire.,
Lundi de Pâques,2026-04-06,,Jours fériés|Christianisme,"Jour férié qui prolonge le dimanche de Pâques. La tradition des œufs vient du Carême : l'Église interdisait d'en manger pendant 40 jours, on offrait donc à Pâques ceux accumulés.",
Journée mondiale de la Santé,2026-04-07,,Santé,Commémore la fondation de l'OMS le 7 avril 1948.,
Dernier Quartier,2026-04-10,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Vacances de Printemps - Zone B,2026-04-11,2026-04-26,Vacances scolaires,"Vacances de Printemps pour la zone scolaire B. Durée : 16 jours, du 11/04/2026 au 26/04/2026. Le découpage en zones A, B et C a été instauré en 1972.",B
Nouvelle Lune,2026-04-17,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Vacances de Printemps - Zone C,2026-04-18,2026-05-03,Vacances scolaires,"Vacances de Printemps pour la zone scolaire C. Durée : 16 jours, du 18/04/2026 au 03/05/2026. Le découpage en zones A, B et C a été instauré en 1972.",C
Jour de la Terre,2026-04-22,,Environnement|Société,Né le 22 avril 1970 après une marée noire en Californie.,
Premier Quartier,2026-04-24,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Fête du Travail,2026-05-01,,Jours fériés|Société,"Commémore la grève de Chicago du 1er mai 1886 pour les 8 heures de travail, réprimée dans le sang. Férié et chômé en France depuis 1947. La tradition d'offrir du muguet vient d'une coutume de Charles IX datant de 1561.",
Pleine Lune,2026-05-01,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Fête de la Victoire 1945,2026-05-08,,Jours fériés,"Le 8 mai 1945, l'Allemagne nazie signe sa capitulation sans condition, mettant fin à la guerre en Europe. Férié depuis 1953, supprimé par Giscard en 1975, puis rétabli par Mitterrand en 1981.",
Dernier Quartier,2026-05-09,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Abolition de l'esclavage en France — Commémoration,2026-05-10,,Mémoire|Société,Journée nationale instaurée par la loi Taubira de 2001.,
Ascension,2026-05-14,,Jours fériés|Christianisme,"Fête chrétienne commémorant la montée du Christ au ciel, 40 jours après Pâques. Toujours un jeudi, ce qui en fait naturellement un pont avec le vendredi.",
Festival de Cannes — Ouverture,2026-05-14,,Culture|Cinéma,"Le Festival International du Film de Cannes, créé en 1946.",
"Pont de l'Ascension - Zones A, B et C",2026-05-14,2026-05-17,Vacances scolaires,"Pont de l'Ascension pour toutes les zones (A, B et C). Durée : 4 jours, du 14/05/2026 au 17/05/2026.",A|B|C
Pont possible — Ascension,2026-05-15,,Ponts / Congés,Ascension tombe un jeudi le 14/05/2026. Le vendredi 15/05/2026 est un pont potentiel — vérifiez auprès de votre employeur.,
Nouvelle Lune,2026-05-16,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Nuit des Musées,2026-05-16,,Culture,Créée en France en 2005 et étendue à toute l'Europe.,
BTS — Épreuves écrites,2026-05-18,2026-05-21,Éducation|Examens,Le Brevet de Technicien Supérieur (BTS) est un diplôme bac+2 de l'enseignement supérieur court. Les épreuves écrites communes se déroulent en mai sur quatre jours.,
Baccalauréat professionnel — Épreuves écrites,2026-05-20,2026-06-05,Éducation|Examens,Le baccalauréat professionnel valide une formation en lycée professionnel ou en alternance. Ses épreuves écrites se déroulent de fin mai à début juin.,
Finale UEFA Europa League 2025-2026,2026-05-20,2026-05-20,Sport,"Au Beşiktaş Park d'Istanbul, Turquie.",all
Journée mondiale de la biodiversité,2026-05-22,,Environnement,Commémore l'adoption de la Convention sur la Diversité Biologique à Rio.,
Premier Quartier,2026-05-23,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pentecôte,2026-05-24,,Christianisme,"Célèbre la descente de l'Esprit Saint sur les apôtres, 50 jours après Pâques.",
Roland-Garros 2026,2026-05-24,2026-06-07,Sport,Grand Chelem sur terre battue à Paris.,all
Lundi de Pentecôte,2026-05-25,,Jours fériés|Christianisme,"Jour férié désigné depuis 2004 Journée de solidarité envers les personnes âgées. Les salariés travaillent ce jour sans rémunération supplémentaire, finançant ainsi la prise en charge de la dépendance — instauré après la canicule de 2003 qui fit 15 000 morts en France.",
Journée nationale de la Résistance,2026-05-27,,Mémoire|Société,"Le 27 mai 1943, Jean Moulin préside la première réunion secrète du CNR.",
Fête des Voisins,2026-05-29,,Société,Créée en 2000 pour lutter contre l'isolement urbain.,
Finale UEFA Ligue des Champions 2025-2026,2026-05-30,2026-05-30,Sport,"À la Puskás Aréna de Budapest, Hongrie. 71e édition de la compétition.",all
Fête des Mères,2026-05-31,,Fêtes|Culture,"Célébrée le dernier dimanche de mai, sauf si c'est la Pentecôte.",
Journée mondiale sans tabac,2026-05-31,,Santé,Lancée par l'OMS en 1987.,
Pleine Lune,2026-05-31,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Débarquement en Normandie — Commémoration du Jour J,2026-06-06,,Mémoire|Dates spéciales,"Le 6 juin 1944, 156 000 soldats alliés débarquent sur les plages de Normandie.",
CAP — Épreuves écrites d'enseignement général,2026-06-08,2026-06-09,Éducation|Examens,Le Certificat d'Aptitude Professionnelle (CAP) certifie des compétences dans un métier précis. Les épreuves écrites d'enseignement général se déroulent sur deux jours en juin.,
Dernier Quartier,2026-06-08,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Journée mondiale de l'océan,2026-06-08,,Environnement,Proposée lors du Sommet de la Terre de Rio en 1992.,
Baccalauréat — Épreuve anticipée de français (1re),2026-06-11,2026-06-11,Éducation|Examens,"L'épreuve écrite anticipée de français se passe en classe de Première, un an avant le bac. Elle compte dans la note finale du baccalauréat général et technologique.",
Coupe du monde de football 2026,2026-06-11,2026-07-19,Sport,"Première édition à 48 équipes, organisée aux États-Unis, au Canada et au Mexique.",all
24 Heures du Mans 2026,2026-06-13,2026-06-14,Sport,94e édition sur le circuit de la Sarthe.,all
Baccalauréat général et technologique — Philosophie,2026-06-15,2026-06-15,Éducation|Examens,"L'épreuve de philosophie est l'épreuve d'ouverture du bac, traditionnellement le premier jour. Unique en Europe, cette épreuve de 4 heures fait de la France le seul pays où la philo est une matière obligatoire pour tous les lycéens jusqu'au baccalauréat.",
Nouvelle Lune,2026-06-15,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Baccalauréat général et technologique — Épreuves de spécialité,2026-06-16,2026-06-18,Éducation|Examens,"Épreuves terminales écrites de spécialité du baccalauréat général et technologique. Créé par Napoléon en 1808, le baccalauréat est l'un des plus anciens examens nationaux. Environ 500 000 candidats passent ces épreuves chaque année.",
Appel du 18 juin 1940 — Anniversaire,2026-06-18,,Mémoire|Dates spéciales,"Le 18 juin 1940, de Gaulle lance depuis Londres un appel à la Résistance sur la BBC.",
Début de l'Été — Solstice d'été,2026-06-21,,Saisons|Astronomie,Le solstice d'été est le jour le plus long de l'année.,
Fête de la Musique,2026-06-21,,Culture|Fêtes,Créée en 1982 par le ministre Jack Lang.,
Fête des Pères,2026-06-21,,Fêtes|Culture,"Née aux États-Unis en 1910, introduite en France dans les années 1950.",
Jour le plus long de l'année,2026-06-21,,Saisons|Astronomie,Le 21 June est le jour le plus long de l'année 2026.,
Premier Quartier,2026-06-21,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Baccalauréat général et technologique — Grand Oral,2026-06-22,2026-07-01,Éducation|Examens,"Le Grand Oral évalue la capacité des candidats à présenter et défendre un projet à l'oral. Introduit par la réforme du bac de 2019, il remplace l'ancien oral de TPE.",
Brevet des collèges (DNB) — Épreuves écrites,2026-06-26,2026-06-30,Éducation|Examens,Le diplôme national du brevet sanctionne la fin du collège. Il se déroule sur trois jours fin juin. Près de 800 000 élèves le passent chaque année en France.,
Fête du Cinéma,2026-06-28,,Culture|Cinéma,"Créée en 1985, elle propose chaque fin juin des places à tarif réduit.",
Pleine Lune,2026-06-30,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Milieu de l'année,2026-07-02,,Dates spéciales,Ce jour marque le point médian exact de l'année 2026.,
Tour de France 2026,2026-07-04,2026-07-26,Sport,"113e édition. Grand départ à Barcelone, arrivée à Paris.",all
"Vacances d'Été - Zones A, B et C",2026-07-04,2026-08-31,Vacances scolaires,"Vacances d'Été pour toutes les zones (A, B et C). Durée : 59 jours, du 04/07/2026 au 31/08/2026.",A|B|C
Festival d'Avignon — Ouverture,2026-07-05,,Culture|Théâtre,Créé par Jean Vilar en 1947 dans la cour du Palais des Papes.,
Dernier Quartier,2026-07-07,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Commémoration de la Rafle du Vél d'Hiv,2026-07-12,,Mémoire|Société,"Les 16-17 juillet 1942, la police française arrêta 13 152 Juifs à Paris.",
Pont possible — Fête nationale,2026-07-13,,Ponts / Congés,Fête nationale tombe un mardi le 14/07/2026. Le lundi 13/07/2026 est un pont potentiel — vérifiez auprès de votre employeur.,
Fête Nationale,2026-07-14,,Jours fériés|Société|Dates spéciales,Commémore la prise de la Bastille le 14 juillet 1789.,
Fête nationale,2026-07-14,,Jours fériés,"Commémore la prise de la Bastille le 14 juillet 1789, symbole de la Révolution française. Jour férié depuis 1880. Défilé militaire sur les Champs-Élysées, bals des pompiers et feux d'artifice dans toute la France.",
Nouvelle Lune,2026-07-14,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2026-07-21,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2026-07-29,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Nuit des Étoiles,2026-08-01,,Astronomie|Éducation|Culture,Organisée chaque premier week-end d'août par l'Association Française d'Astronomie depuis 1991.,
Dernier Quartier,2026-08-06,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nouvelle Lune,2026-08-12,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Assomption,2026-08-15,,Jours fériés,"Célèbre l'élévation de la Vierge Marie au ciel. Fête chrétienne ancienne, jour férié en France depuis le Concordat de 1802. Elle tombe en plein cœur de l'été, au milieu des grandes vacances.",
Assomption de Marie,2026-08-15,,Christianisme|Jours fériés,Célèbre l'élévation de la Vierge Marie au ciel.,
Premier Quartier,2026-08-20,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Pleine Lune,2026-08-28,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Rentrée des classes,2026-09-02,,Éducation|Société,La rentrée de septembre mobilise 12 millions d'élèves et 870 000 enseignants en France.,
Dernier Quartier,2026-09-04,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Braderie de Lille,2026-09-05,,Culture|Commerce,"Plus grande braderie d'Europe, organisée le premier week-end de septembre à Lille.",
Nouvelle Lune,2026-09-11,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Premier Quartier,2026-09-18,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Journées du Patrimoine,2026-09-19,,Culture|Société,"Créées en France en 1984 par Jack Lang, étendues à toute l'Europe en 1991.",
Journée mondiale sans voiture,2026-09-22,,Environnement|Société,Lancée en France en 1998 par La Rochelle.,
Début de l'Automne — Équinoxe d'automne,2026-09-23,,Saisons|Astronomie,L'équinoxe d'automne marque le début de l'automne.,
Pleine Lune,2026-09-26,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Journée mondiale du cacao et du chocolat,2026-10-01,,Gastronomie|Culture,Célébrée le 1er octobre et associée à l'Organisation internationale du cacao (ICCO).,
Lancement d'Octobre Rose,2026-10-01,,Santé,Tout octobre est dédié à la sensibilisation au cancer du sein.,
Dernier Quartier,2026-10-03,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Nuit Blanche,2026-10-03,,Culture,Initiée à Paris en 2002 par le maire Bertrand Delanoë.,
Fête des Grands-Pères,2026-10-04,,Fêtes|Culture,"Créée en 2008, elle a lieu chaque premier dimanche d'octobre.",
Journée mondiale de la santé mentale,2026-10-10,,Santé|Société,Créée par la Fédération Mondiale pour la Santé Mentale en 1992.,
Nouvelle Lune,2026-10-10,,Astronomie|Lunaire,La face de la Lune tournée vers la Terre n'est pas éclairée — elle est invisible dans le ciel.,
Semaine du Goût,2026-10-12,,Gastronomie|Culture,Créée en 1990 par le chef Joël Robuchon.,
Journée mondiale de l'alimentation,2026-10-16,,Gastronomie|Société|Santé,Commémore la fondation de la FAO le 16 octobre 1945.,
"Vacances de la Toussaint - Zones A, B et C",2026-10-17,2026-11-01,Vacances scolaires,"Vacances de la Toussaint pour toutes les zones (A, B et C). Durée : 16 jours, du 17/10/2026 au 01/11/2026.",A|B|C
Premier Quartier,2026-10-18,,Astronomie|Lunaire,La moitié droite de la Lune est éclairée. Mi-chemin entre la Nouvelle Lune et la Pleine Lune.,
Passage à l'heure d'hiver,2026-10-25,,Changement d'heure,"Dans la nuit du samedi au dimanche, les montres reculent d'une heure (3h → 2h).",
Pleine Lune,2026-10-26,,Astronomie|Lunaire,La face de la Lune est entièrement éclairée par le Soleil.,
Halloween,2026-10-31,,Culture|Fêtes,Fête d'origine celtique (la nuit de Samain) christianisée puis popularisée par la diaspora irlandaise.,
Dernier Quartier,2026-11-01,,Astronomie|Lunaire,Phase lunaire : Dernier Quartier.,
Lancement du Mois sans Tabac,2026-11-01,,Santé,Lancé en France en 2016 par Santé Publique France.,
Toussaint,2026-11-01,,Jours fériés|Christianisme,"Fête de tous les saints, instituée par le pape Grégoire IV en 835. En France, la tradition de fleurir les tombes avec des chrysanthèmes s'est greffée dessus — ces fleurs sont désormais intimement liées à ce jour.",
